CN1721226	CAN总线	整车能量高
CN2405363	保护装置	装置结构简单
CN1209279	保健茶	保健作用好
CN1209279	保健茶	目明
CN1283493	保健药酒	弊端充分
CN1275348	保健饮料	天然性独特
CN201058638	保暖套	套套体夹层保暖
CN101311076	保温效果	效果方便
CN1479397	保温装置	电池堆少
CN1479397	保温装置	季寒
CN1479397	保温装置	燃料电池汽车方便
CN1479397	保温装置	热量多余
CN101289080	保险杠	保险杠弹性好
CN1133551	保险销	闭合位置时可靠
CN1133551	保险销	夹住销钉装置安全
CN101209703	报警器	成本高
CN201174163	报警器	防盗可靠
CN201120916	报警器	防盗效果佳
CN201227986	报警器	防范性能优异
CN201201664	报警器	距离近
CN201068173	报警器	量大
CN201132556	报警器	确保报警器正常
CN201227986	报警器	实用性强
CN201174163	报警器	使用成本低
CN201132556	报警器	使用时安全
CN101209703	报警器	问题不便
CN201132556	报警器	性能安全
CN201095390	报警装置	保障用户财产安全
CN201095390	报警装置	成本低
CN201095390	报警装置	结构简单
CN1192447	鲍迪甙A	味质好
CN101162779	备方法	输出性能好
CN101162779	备方法	阳极浆料好
CN101420027	倍率性能	成本低
CN101420027	倍率性能	方法操作简单
CN1120535	苯甲腈	产品分离纯化困难
CN1120535	苯甲腈	成本高
CN1120535	苯甲腈	处理问题不好
CN1120535	苯甲腈	反应多
CN1120535	苯甲腈	三废不好
CN1789683	泵托架	结构简单
CN1789683	泵托架	力调节紧
CN1789683	泵托架	轮安装惰
CN1789683	泵托架	实用简单
CN101051776	泵系统	改变电流检测电阻简单
CN101051776	泵系统	提高系统方便
CN101051776	泵系统	性方便
CN1767310	闭环控制方法	控制效果好
CN1243392	编码	传统技术少
CN1205115	变换器	导电装置结构简单
CN1205115	变换器	方式串联简单
CN201227960	变换器	特点轻
CN1747305	变换器	特性滤波器输出通
CN1747305	变换器	载波频率低
CN201227960	变换器	重量轻
CN1352484	变换装置	变动范围大
CN2507689	变换装置	变动范围大
CN1341076	变换装置	到反应速度平衡性好
CN1341076	变换装置	低温状态好
CN1341076	变换装置	低温状态宽
CN1341076	变换装置	反应速度快
CN1106979	变换装置	感应少
CN1341076	变换装置	高温状态快
CN1341076	变换装置	构造简单
CN1106979	变换装置	结构简单
CN101242148	变换装置	可靠性必要
CN1341076	变换装置	温度范围宽
CN101371429	变换装置	影响热
CN201113817	变流器	材料成本显著
CN101056070	变流器	材料成本显著
CN201113817	变流器	方波逆变器准
CN201113817	变流器	具有电气性能卓越
CN101056070	变流器	具有电气性能卓越
CN101056070	变流器	优势巨大
CN201113817	变流器	优势巨大
CN1797936	变频调速	产品成本显著
CN1797936	变频调速	升降方便
CN1797936	变频调速	升降速
CN1789033	变频控制方法	保护功能强
CN1789033	变频控制方法	调速范围广
CN1789033	变频控制方法	结构简单
CN1789033	变频控制方法	具有体积小
CN1789033	变频控制方法	特点强
CN1789033	变频控制方法	效率高
CN1789033	变频控制方法	重量轻
CN101409498	变器系统	功率线恒定
CN1767328	变速电机	电动车整体工作性能高
CN200988565	变速机构	结构合理
CN200988566	变速机构	结构合理
CN1061472	变速器	传动特性好
CN201090685	变速器	结构简单
CN1061472	变速器	具有结构紧凑
CN1061472	变速器	均匀平稳
CN101235896	变速器	控制信号施加低
CN1061472	变速器	设置多个方便
CN201090685	变速器	输出动力平滑
CN201090685	变速器	重量轻盈
CN201090685	变速器	装置体积小巧
CN1974262	变速系统	成本优势明显
CN1486876	变速系统	驾驶操作简便
CN1486876	变速系统	造价低廉
CN2644216	变速箱	装置简单
CN101275670	变速装置	待机液压低
CN101320927	变速装置	结构简单
CN101275670	变速装置	量大
CN101320927	变速装置	体积小
CN1637327	变速装置	问题低
CN1637327	变速装置	效率低
CN101320927	变速装置	重量轻
CN201105701	标牌	人容易
CN201167105	标准箱体	缺点强
CN201167105	标准箱体	通用性强
CN1743072	铂活性	铂高
CN1743072	铂活性	循环高
CN1743072	铂活性	一氧化碳少
CN1058937	薄膜	包装袋软
CN1058937	薄膜	密封坚固
CN1058937	薄膜	强度好
CN1058937	薄膜	整体好
CN101410711	补偿元件	气体传感器高
CN101224708	补充装置	车身自重
CN101224708	补充装置	程度大
CN101224708	补充装置	存储电能少
CN101224708	补充装置	电能高
CN1062190	补充装置	发动机动力性高
CN1062190	补充装置	发明结构简单
CN101224708	补充装置	经济效益大
CN101224708	补充装置	能产生大
CN101224708	补充装置	限制自重
CN2353592	补给装置	电动车行驶时间短
CN2353592	补给装置	问题短
CN101400832	材料	催化性能高
CN101335346	材料	发明工艺简单
CN1658420	材料层	酸性功能性材料溶液强
CN1417874	材料制备方法	具有循环寿命长
CN1417874	材料制备方法	特点显著
CN1417874	材料制备方法	性能安全
CN1417874	材料制备方法	性能好
CN1417874	材料制备方法	意义重大
CN1047019	裁剪法	裁剪方法简单
CN101071159	采集系统	测定电动汽车电池能量简洁
CN101004856	采集装置	成本低
CN101004856	采集装置	具有体积小
CN101004856	采集装置	优点低
CN1052583	彩色信号	多功能慢
CN101323260	操控系统	动力总成结构简单
CN101323260	操控系统	提高驾驶舒适
CN101323260	操控系统	性舒适
CN101323260	操控系统	制造成本低
CN101323260	操控系统	重量轻
CN201072209	操纵器	操纵器操作方便
CN201072209	操纵器	达到乘员操作简单
CN1651275	操纵器	发明操纵器操作方便
CN1651275	操纵器	噪声小
CN201072209	操纵器	噪声小
CN101244700	操作系统	动力电池长
CN101244700	操作系统	气排放污
CN101244700	操作系统	限度大
CN101303272	操作装置	试验方案简单
CN101308196	测量电路	发明硬件电路简单
CN101308196	测量电路	滤波器通
CN101308196	测量电路	有源低
CN101256218	测量系统	测量不够
CN101256218	测量系统	建模困难
CN101256218	测量系统	问题准确
CN1104771	测量装置	测试精度高
CN1892188	测量装置	发热电阻体污
CN1104771	测量装置	具有水样流程简单
CN1104771	测量装置	特点快
CN1104771	测量装置	投入运行时间短
CN1104771	测量装置	稳定性高
CN1104771	测量装置	响应速度快
CN2739581	测试台	使用移动方便
CN101241168	测试台架	架系统结构简单
CN101408588	测试系统	保证工作流程顺畅
CN101408484	测试系统	变速装置大
CN101408592	测试系统	达到电池测试精度高
CN101408484	测试系统	调节问题连续
CN101377682	测试系统	发明构造简单
CN101408592	测试系统	功率直流稳
CN101408484	测试系统	惯量结构大
CN101408592	测试系统	可靠性独立高
CN101408592	测试系统	可靠性高
CN101408592	测试系统	目的高
CN1796963	测试仪	弊端昂贵
CN1796963	测试仪	价格昂贵
CN201145709	测试装置	测量精度高
CN1142283	测试装置	时输入可靠
CN201145709	测试装置	算法简单
CN201145709	测试装置	硬件少
CN101170174	层	带致密微
CN101170174	层	孔微
CN1734812	层材料	生产成本低廉
CN1229517	层电容器	电容大
CN1229517	层电容器	集电体柔软
CN101243528	层电容器	可靠性优异
CN1229517	层电容器	膜厚
CN101243528	层电容器	特性劣
CN1229517	层电容器	性柔软
CN1885599	层结构	耐久性好
CN1885599	层结构	特点好
CN1719646	层制作方法	成本高
CN1719646	层制作方法	导致效率低
CN1719646	层制作方法	生产连续
CN1719646	层制作方法	生产时间短
CN1719646	层制作方法	推动燃料电池快
CN1719646	层制作方法	问题高
CN1719646	层制作方法	於低
CN1308162	层阻裂剂	水泥少
CN1308162	层阻裂剂	提高道路密实
CN1874073	插孔插头	插孔加工好
CN1874073	插孔插头	管理安全
CN1874073	插孔插头	密封方便
CN201178363	差速电机	成本低廉
CN201178363	差速电机	运行效率高
CN1799893	差速系统	传动效率高
CN1799893	差速系统	体积小
CN1799893	差速系统	重量轻
CN2659725	差速装置	成本高
CN201120546	拆装器	工效高
CN201120546	拆装器	结构紧凑
CN201120546	拆装器	可靠性高
CN201120546	拆装器	劳动强度低
CN201120546	拆装器	使用寿命长
CN201120546	拆装器	特点长
CN201206497	柴油机	排放少
CN1255886	产品	模具长
CN1658425	产生电能	电池效率高
CN1658425	产生电能	价格低廉
CN1658425	产生电能	性醇
CN1658425	产生电能	优点高
CN101284646	产生氢气	真空状态低
CN1298071	常压锅炉	弊病低
CN101214796	超级电容	结构简单
CN201205865	车	成本低
CN101244764	车	成本高
CN1511752	车	单元高
CN101244764	车	弹射装置结构复杂
CN201205865	车	方案意义重大
CN1659046	车	高效安全
CN1699082	车	高效安全
CN1511752	车	结构简单
CN201205865	车	结构简单
CN2759867	车	解决现有技术中电动汽车车载电池组质量大
CN1659046	车	使轮胎安全
CN1699082	车	使轮胎安全
CN101348081	车	系统简单
CN201205865	车	现有旧
CN201102479	车	效率高
CN201205865	车	油电双动力车高
CN201205865	车	油电双动力车旧
CN101348081	车	整流少
CN201080127	车后桥	具有传动效率高
CN201080127	车后桥	使用寿命长
CN201080127	车后桥	外形美观
CN201080127	车后桥	优点美观
CN201080127	车后桥	噪音低
CN201172462	车架	车体重量轻
CN201172462	车架	结构简单
CN201172462	车架	稳定性可靠
CN1814491	车架结构	影响弯
CN1734073	车辆	产生发动机负载缓慢
CN101247978	车辆	车辆高
CN101376343	车辆	车辆少
CN1357974	车辆	电池少
CN1671021	车辆	高压线少
CN1357974	车辆	检测车辆位置准确
CN101331305	车辆	精度高
CN1400384	车辆	重量轻
CN1400384	车辆	做出设备体积小
CN1346757	车辆充电	充电效率高
CN1162805	车辆管理	管理好
CN1162805	车辆管理	管理灵活
CN1162805	车辆管理	精确度高
CN1162805	车辆管理	具有系统造价低
CN1162805	车辆管理	面广
CN1162805	车辆管理	面适用
CN1162805	车辆管理	社会效益好
CN1162805	车辆管理	特点灵活
CN101218118	车辆结构	限制情况大
CN201071009	车轮	成本低廉
CN200988395	车轮	机构简单
CN201073904	车轮	技术问题不便
CN1242641	车轮电机	成本低
CN1242641	车轮电机	电动车方便
CN1242641	车轮电机	可靠性高
CN1242641	车轮电机	驱动系统紧凑
CN1242641	车轮电机	驱动效率高
CN1242641	车轮电机	寿命长
CN1242641	车轮电机	特点低
CN1403310	车轮构造	车轮紧凑
CN201129121	车门结构	节能性好
CN201129121	车门结构	具有结构简单
CN201129121	车门结构	特点好
CN201129121	车门结构	外形美观
CN201129121	车门结构	制造成本低
CN201129121	车门结构	重量轻
CN201102595	车篷	采光通风好
CN201102595	车篷	抗震性能好
CN201102595	车篷	整体强度好
CN200960850	车桥	使电动车车桥结构简单
CN200960850	车桥	制造安装方便
CN101420152	车桥电机	电动汽车电耗少
CN201130885	车桥电机	电动汽车电耗少
CN201109455	车梯	导小
CN201073989	车头锁	传动结构简单
CN201073989	车头锁	传动设置准确
CN101395022	车载构造	方向长
CN1896151	沉积涂料	表面光洁
CN1896151	沉积涂料	耐酸性优异
CN1896151	沉积涂料	性光洁
CN1328081	成膜剂	成本低
CN1328081	成膜剂	具有量少
CN1994612	成形工艺	材料用料少
CN1994612	成形工艺	电机质量安全
CN101180362	成形品	韧性优异
CN101180362	成形品	形成表面平滑
CN101180362	成形品	性平滑
CN101397373	成形体	硅烷醇
CN101397373	成形体	基醇
CN101397373	成形体	基相互作用醇
CN1366679	成型产品	耐热性高
CN1366679	成型产品	热辐射性能良好
CN1336856	成型体	耐热性优异
CN1894100	成型制品	汽油醇
CN1046492	成型装置	刚性好
CN1099349	呈立方体	物件方便
CN1433920	城市客车	具有结构简单
CN1433920	城市客车	投资成本低
CN1760640	乘式车辆	低成本紧凑
CN1760640	乘式车辆	范围长
CN1760640	乘式车辆	构造紧凑
CN1744427	程序	电动少
CN1285137	持高	雷达容易
CN1285137	持高	沙漠锋面区明显
CN201226467	齿电动机	润滑效果好
CN201226467	齿电动机	添加润滑油方便
CN2484211	齿轮电机	电机少
CN1298818	充电	充电机笨重
CN1268785	充电	充电时间设定短
CN1268785	充电	电流充电恒
CN1319915	充电	检测充电装置可靠
CN201089369	充电	时间充电短
CN201089369	充电	线路全程运行一般
CN1268785	充电	延长时间设定短
CN101257218	充电	用户少
CN1228377	充电车	经济实用大
CN1228377	充电车	具有结构制作简单
CN1228377	充电车	特点大
CN1897346	充电电池	安装方便
CN1897346	充电电池	电解质密封件方便
CN201112530	充电电池	优点明显
CN101232197	充电电路	装置工作可靠
CN201066799	充电机	成本低
CN201066799	充电机	充电速度快
CN201066799	充电机	充电性能好
CN201066799	充电机	蓄电池寿命长
CN1349274	充电模式	程度大
CN1349274	充电模式	综合充电模式大
CN201122853	充电器	车辆高
CN101291075	充电器	充电器长
CN2245294	充电器	充电效率高
CN201117761	充电器	导致电池寿命短
CN2343708	充电器	电能利用率高
CN101291075	充电器	电平低
CN1271199	充电器	发明结构简单
CN201126978	充电器	结构简单
CN2746631	充电器	结构简单
CN2754928	充电器	结构简单
CN201174407	充电器	经济效益突出
CN2746631	充电器	具有工作效率高
CN201126978	充电器	生产方便
CN201142591	充电器	时间长
CN201126978	充电器	锁按钮开关电动车充电器操作方便
CN2746631	充电器	特点方便
CN2343708	充电器	特点合理
CN201117761	充电器	问题短
CN1271199	充电器	蓄电池快速充好
CN201122853	充电器	隐患安全
CN201142591	充电器	用助力电动车充电器效率低
CN201174407	充电器	质量可靠
CN2746631	充电器	重量轻
CN1855666	充电系统	电压低
CN1325168	充电系统	耗电量大
CN201075728	充电系统	结构简单
CN1785725	充电系统	解决现行电动车长
CN1785725	充电系统	能源合理
CN1785725	充电系统	骑电动车充电难
CN1785725	充电系统	时间长
CN201075728	充电系统	提高电动车连续
CN201075728	充电系统	行驶里程连续
CN1325168	充电系统	续航力大
CN1785725	充电系统	影响积极
CN1785725	充电系统	用户时间少
CN1785725	充电系统	状况难
CN200969439	充电装置	操作方便
CN201113767	充电装置	操作容易
CN1499690	充电装置	成本低
CN2269000	充电装置	成本低
CN201210314	充电装置	成本少
CN2269000	充电装置	充电效果好
CN201210314	充电装置	充电装置结构简单
CN2501732	充电装置	电瓶电能长
CN1499690	充电装置	发明结构简单
CN201210314	充电装置	功能可靠
CN1858969	充电装置	缓解能源紧张
CN2265620	充电装置	结构简单
CN201113767	充电装置	结构简单
CN201150011	充电装置	解决能源利用率低
CN201150011	充电装置	具有结构简单
CN1499690	充电装置	难题大
CN201150011	充电装置	缺陷低
CN1499690	充电装置	社会效益好
CN1368776	充电装置	性能安全
CN201113767	充电装置	性强实用
CN201150011	充电装置	续行里程长
CN1452264	充电装置	一端小
CN201142590	充电装置	重量轻
CN201142590	充电装置	装置结构简单
CN1427523	充电状态	状态低
CN101316041	充放电系统	使汽车电器寿命长
CN1223943	充气机	外形低矮
CN1252389	充氧机	发明结构简单
CN1252389	充氧机	污水处理时高
CN1252389	充氧机	制作成本低
CN1055777	冲孔机	能耗低
CN1055777	冲孔机	效率高
CN1303722	冲浪装置	流出水流水位高
CN1275318	除草剂	除草谱不足
CN1213500	除草剂	叶类杂草阔
CN1275318	除草剂	叶杂草阔
CN1066296	除毒法	治理成本低
CN1895994	储电器	体积小
CN1895994	储电器	重量轻
CN1333144	储能系统	性方面方便
CN1380136	储氢材料	安全性好
CN1380136	储氢材料	成本低
CN1580305	储氢材料	放氢速度快
CN1380136	储氢材料	流程简单
CN1380136	储氢材料	氢化速度快
CN1958823	储氢合金	纯镁好
CN1958823	储氢合金	放氢速度快
CN1958823	储氢合金	制备方法简单
CN2440694	储氢装置	备用储氢罐抽换简易
CN1581551	储氢装置	具有结构简单
CN1581551	储氢装置	设计科学合理
CN2440694	储氢装置	性方便
CN1581551	储氢装置	性能好
CN1581551	储氢装置	优点好
CN1581551	储氢装置	制氢成本低
CN1218010	处理技术	化学反应原理简单
CN1218010	处理技术	具有工艺简单
CN1218010	处理技术	设备简单
CN1218010	处理技术	特点低
CN1218010	处理技术	运行费用低
CN1784480	处理剂	防水性优异
CN1938343	处理剂	性污
CN1784480	处理剂	性污
CN1223036	处理器	端语音低
CN1223036	处理器	能量元音低
CN1906793	处理体	组性能劣
CN200956538	处理系统	经济效益大
CN1310829	处理装置	产生振动数据容易
CN1310829	处理装置	低成本容易
CN1815791	处理装置	发明处理装置结构紧凑
CN1171343	处理装置	环境卫生
CN1171343	处理装置	旅客好
CN1306638	处理装置	数据处理装置简单
CN1558791	处理装置	有效综合简单
CN1558791	处理装置	有效综合热
CN1225806	处移开	保证物品目标明确
CN1225806	处移开	单独输出明确
CN1225806	处移开	输送速度高
CN1328807	穿刺针	病人少
CN1328807	穿刺针	可靠性安全
CN1328807	穿刺针	医生方便
CN1513188	传导体	壁薄
CN1513188	传导体	实用效果质子传导凝胶优异
CN1978234	传递装置	提高行星齿轮组耐用
CN1978234	传递装置	性耐用
CN2625206	传动机构	成本低
CN2625206	传动机构	传动比高
CN2735079	传动机构	传动效率高
CN2625206	传动机构	结构简洁
CN2735079	传动机构	结构紧凑
CN2735079	传动机构	具有动力特性好
CN2625206	传动机构	零部件加工方便
CN201113663	传动机构	寿命长
CN201113663	传动机构	特点长
CN2735079	传动机构	体积小
CN2625206	传动机构	下动力传送平稳
CN2735079	传动机构	优点小
CN2735079	传动机构	噪声低
CN201113663	传动机构	噪音低
CN201077349	传动机构	整体结构简单
CN1272712	传动结构	体积轻便
CN2690210	传动器	减速低
CN2690210	传动器	缺点不足
CN2690210	传动器	原有润滑油量不足
CN2690210	传动器	制造成本低
CN101374710	传动系	内燃机少
CN101082365	传动系统	成本低
CN101082365	传动系统	传动稳定可靠
CN1876420	传动系统	传动系统少
CN101082365	传动系统	传动效率高
CN101082365	传动系统	发明大
CN201195494	传动系统	混合动力汽车迅速
CN101082365	传动系统	结构简单
CN101004204	传动系统	结构紧凑
CN101081596	传动系统	利用率低
CN101082365	传动系统	扭矩能力大
CN1775577	传动系统	切换平稳
CN1775577	传动系统	同时工作时平稳
CN101081596	传动系统	问题低
CN101082365	传动系统	优点大
CN201195494	传动系统	转化迅速
CN2525035	传动装置	壁薄
CN201129428	传动装置	车轮产生转速差
CN201045403	传动装置	车速低
CN201045403	传动装置	车速高
CN201045403	传动装置	车速工
CN1876421	传动装置	成本低
CN2033776	传动装置	齿轮变速器结构简单
CN1888483	传动装置	传动效率高
CN201235735	传动装置	传动效率高
CN2736202	传动装置	传动效率高
CN1808854	传动装置	传动噪音少
CN1071377	传动装置	挡位被动齿轮高
CN1071377	传动装置	挡位被动齿轮转速转动低
CN1888483	传动装置	发明结构简单
CN201045403	传动装置	分为电机工作低
CN101243275	传动装置	供给少
CN201235735	传动装置	结构简单
CN2736202	传动装置	结构简单
CN1876421	传动装置	具有传动效率高
CN2429368	传动装置	具有传动效率高
CN2525035	传动装置	具有结构紧凑
CN2429368	传动装置	可靠性好
CN201045403	传动装置	况工
CN201045403	传动装置	联合工作高
CN1167697	传动装置	马达高
CN1167697	传动装置	启动异
CN2633632	传动装置	汽车尾气排放少
CN1074869	传动装置	牵引力想法高
CN1945054	传动装置	燃油少
CN2429368	传动装置	特点好
CN201235735	传动装置	体积小
CN2736202	传动装置	体积小
CN201129428	传动装置	限度大
CN2737598	传动装置	效率高
CN1167697	传动装置	音异
CN2429368	传动装置	噪声小
CN1734128	传动装置	转动损失低
CN1876421	传动装置	转矩容量大
CN2737598	传动装置	装置成本低
CN1445133	传感器	安装节气门传感器少
CN101395781	传感器	便于电池单元温度准确
CN101395781	传感器	测量准确
CN101395781	传感器	传导热
CN1871509	传感器	传感器酸
CN101395781	传感器	电源单元方便
CN1765692	传感器	功耗低
CN1142606	传感器	降低压力传感器积冰危险
CN1445133	传感器	节气门传感器高
CN1891553	传感器	可靠性高
CN1765692	传感器	批量生产大
CN1445133	传感器	使检测误差少
CN1871509	传感器	泄漏事故重要
CN1891553	传感器	性耐用
CN1871509	传感器	作为氟化氢气体酸
CN1871509	传感器	作用重要
CN1305421	传输能量	减少机械动力传输复杂
CN1305421	传输能量	使用高效轻
CN1305421	传输能量	推力恒定
CN1305421	传输能量	质直接轻
CN201058576	传输设备	结构简单
CN1324751	传送装置	集装箱高
CN1324751	传送装置	造价低
CN1324751	传送装置	占地面积小
CN101376346	船系统	范围广
CN101376346	船系统	范围适用
CN101376346	船系统	航行速度快
CN101376346	船系统	推进力大
CN101376346	船系统	系统结构简单
CN101376346	船系统	运行成本低
CN2069473	窗帘	车少
CN101150199	吹扫系统	成本低
CN101150199	吹扫系统	质子交换膜燃料电池高
CN201160110	纯氧电池	具有结构简单
CN201160110	纯氧电池	使用寿命长
CN1896195	醇类汽油	尾气污染物有害
CN1263939	醇啤酒	具有生产过程容易
CN1263939	醇啤酒	啤酒醇
CN1263939	醇啤酒	设备特殊
CN1263939	醇啤酒	生产成本低
CN1263939	醇啤酒	优点低
CN101317238	磁体材料	用量少
CN1716464	磁铁	性稀土耐蚀
CN101325350	磁铁装置	磁铁低
CN101325350	磁铁装置	高温稳定性低
CN1696055	磁性材料	材料高
CN1696055	磁性材料	尺寸小
CN1696055	磁性材料	具有良好耐用
CN1696055	磁性材料	控制良好小
CN1696055	磁性材料	物理特性均衡
CN1696055	磁性材料	性耐用
CN2496182	磁阻电机	解决现有磁阻电机电子结构昂贵
CN1294416	此隔膜	熔点成分低
CN1294416	此隔膜	熔点成分高
CN1595709	促进剂	电极少
CN101371988	催化材料	操作易
CN1785509	催化材料	成本低
CN1785509	催化材料	电催化活性佳
CN1785509	催化材料	制备工艺简单
CN101371988	催化材料	制备工艺简单
CN1801513	催化电极	催化层催化活性高
CN1538879	催化电极	导电催化颗粒不易
CN1538879	催化电极	烧结不易
CN101246963	催化剂	表面积宽
CN101185891	催化剂	铂催化剂卓越
CN1564356	催化剂	铂低
CN1827211	催化剂	铂高
CN1523695	催化剂	铂强
CN1523695	催化剂	铂弱
CN1418726	催化剂	铂用量低
CN1418725	催化剂	铂用量低
CN1591943	催化剂	材料廉价
CN1577927	催化剂	采用价格低廉
CN101394928	催化剂	产物分离容易
CN1832233	催化剂	成本低
CN101143330	催化剂	成本低
CN100998948	催化剂	成本低
CN1803292	催化剂	成本低
CN101306385	催化剂	成本低
CN1330424	催化剂	成本低廉
CN1790785	催化剂	成本低廉
CN1418726	催化剂	成本低廉
CN101130164	催化剂	成本低廉
CN101224427	催化剂	成本低廉
CN101259436	催化剂	成本低廉
CN101227000	催化剂	成本低廉
CN1418725	催化剂	成本低廉
CN101362093	催化剂	成本低廉
CN101246963	催化剂	程度大
CN1788847	催化剂	出产品纯度高
CN101087022	催化剂	出电池发电性能好
CN101362094	催化剂	储量低
CN1577927	催化剂	储量丰富
CN1558460	催化剂	纯度高
CN1253958	催化剂	催化活性优点高
CN1790785	催化剂	催化剂催化性能优异
CN1558460	催化剂	催化剂高
CN101239312	催化剂	催化剂高
CN101269325	催化剂	催化剂高
CN101279272	催化剂	催化剂高
CN1921194	催化剂	催化剂高
CN1617374	催化剂	催化剂活性面积高
CN101185900	催化剂	催化剂价格昂贵
CN1921193	催化剂	催化剂金属颗粒高
CN1917261	催化剂	催化剂金属微粒分散好
CN1909272	催化剂	催化剂金属微粒高
CN1921194	催化剂	催化剂金属微粒高
CN101096016	催化剂	催化剂纳米颗粒方便
CN101249445	催化剂	催化剂少
CN101087022	催化剂	催化剂稳定性好
CN101143330	催化剂	催化性能高
CN1921194	催化剂	导电陶瓷表面微
CN1909272	催化剂	导电陶瓷表面微
CN1917261	催化剂	导电陶瓷表面微
CN1617374	催化剂	电池效能好
CN1617373	催化剂	电池效能好
CN101108346	催化剂	电催化活性高
CN1330424	催化剂	电催化活性好
CN1418725	催化剂	电催化活性好
CN101347741	催化剂	电催化活性优异
CN1827211	催化剂	电催化性能优异
CN101114715	催化剂	电活性优异
CN1269847	催化剂	电极好
CN101087022	催化剂	电解性能好
CN1917260	催化剂	电输出性能好
CN1921194	催化剂	电输出性能好
CN1909272	催化剂	电输出性能好
CN1917261	催化剂	电输出性能好
CN1921195	催化剂	电输出性能好
CN1921193	催化剂	电输出性能好
CN1630122	催化剂	毒化性能优异
CN1768926	催化剂	发明催化剂价格低廉
CN101259436	催化剂	发明工艺简单
CN1788847	催化剂	发明工艺简单
CN101380584	催化剂	法制备工艺简单
CN101224427	催化剂	反应活性高
CN101269325	催化剂	反应活性高
CN101015799	催化剂	反应活性优异
CN1397485	催化剂	范围佳
CN101161341	催化剂	方法操作简单
CN1790785	催化剂	方法方便
CN1418725	催化剂	方法工艺简单
CN1803292	催化剂	方法工艺简单
CN1418726	催化剂	方法工艺简单
CN1330424	催化剂	方法工艺简单
CN101130164	催化剂	方法工艺简单
CN1937293	催化剂	方法简单
CN101259410	催化剂	方法简单
CN1947835	催化剂	方法简单
CN1960042	催化剂	方法流程简单
CN101087022	催化剂	分散好
CN101087022	催化剂	分散容易
CN1921195	催化剂	分散性好
CN1541936	催化剂	高效廉价
CN1425499	催化剂	工艺简单
CN1697219	催化剂	工艺简单
CN1591943	催化剂	贵金属催化剂催化能力昂贵
CN101347741	催化剂	贵金属催化剂明显
CN1917261	催化剂	贵金属利用率高
CN1921195	催化剂	贵金属微粒高
CN101306385	催化剂	过程安全
CN101224435	催化剂	合金催化剂甲醇氧化能力高
CN1917261	催化剂	化学稳定性好
CN1921193	催化剂	化学稳定性好
CN100998948	催化剂	还原催化活性高
CN101306385	催化剂	还原催化剂原料成本高
CN101306385	催化剂	环化合物氧大
CN1617374	催化剂	活性极化小
CN101279272	催化剂	活性物分散
CN101197445	催化剂	价格低
CN101081367	催化剂	价格低
CN1630122	催化剂	价格低廉
CN101306385	催化剂	价格低廉
CN1697219	催化剂	价格低廉
CN1396308	催化剂	价格低廉
CN101362094	催化剂	价格高
CN1692072	催化剂	结果好
CN1917260	催化剂	结合力好
CN1697219	催化剂	解决现有电池催化剂价格昂贵
CN101306385	催化剂	菁大
